Ticker
ABT
ABBV
ATVI
ADBE
AMD
GOOGL
GOOG
AMZN
AME
AMGN
APH
ADI
ANSS
ANTM
AAPL
AMAT
ANET
T
ADSK
ADP
AVGO
CDNS
CDW
CSCO
CTXS
CTSH
GLW
DXC
FISV
FLT
FLIR
IT
INTC
INTU
MA
MXIM
MCHP
MU
MSFT
NVDA
ORCL
QRVO
QCOM
REGN
CRM
STX
NOW
SWKS
SNPS
TER
TXN
TYL
VRSN
XLNX
ZBRA
